Wall time,Step,Value
1529164404,5,2.29371357
1529164408,18,2.298063755
1529164410,24,2.308189154
1529164415,40,2.301737785
1529164415,42,2.293650866
1529164416,45,2.316114902
1529164416,47,2.317391157
1529164419,53,2.304340124
1529164419,56,2.294121027
1529164424,71,2.28370142
1529164425,74,2.308588266
1529164427,79,2.301412582
1529164429,87,2.292663574
1529164431,94,2.286479712
1529164433,102,2.293591499
1529164434,105,2.301511526
1529164435,106,2.300142288
1529164437,113,2.311171293
1529164441,126,2.281544447
1529164445,139,2.304828405
1529164448,150,2.284560442
1529164450,155,2.288362503
1529164451,158,2.290770054
1529164454,167,2.285639048
1529164454,168,2.289387465
1529164457,178,2.274797678
1529164459,183,2.272106409
1529164460,185,2.280331612
1529164460,186,2.28921628
1529164461,190,2.280555487
1529164464,198,2.269572496
1529164466,206,2.277936697
1529164466,207,2.26790905
1529164468,212,2.267209053
1529164471,223,2.277861834
1529164473,229,2.277424812
1529164474,234,2.279493809
1529164476,237,2.273179531
1529164479,249,2.279747963
1529164481,255,2.27692461
1529164482,260,2.279522181
1529164485,267,2.274092674
1529164486,271,2.277255774
1529164486,273,2.264398575
1529164493,292,2.267220974
1529164494,297,2.275897264
1529164494,298,2.25972414
1529164496,303,2.272050619
1529164497,308,2.266425848
1529164498,310,2.258840084
1529164501,318,2.268351078
1529164501,319,2.264811039
1529164503,326,2.255237341
1529164504,330,2.2712605
1529164507,339,2.256341934
1529164509,347,2.25477767
1529164514,363,2.250895739
1529164516,367,2.251421213
1529164517,373,2.254349709
1529164518,377,2.255251884
1529164519,379,2.255558729
1529164532,421,2.254056931
1529164532,422,2.2391119
1529164533,424,2.245452881
1529164535,430,2.247270107
1529164537,439,2.240285397
1529164538,441,2.249233723
1529164538,442,2.249661207
1529164539,445,2.239695549
1529164541,451,2.237581491
1529164544,460,2.250328064
1529164545,463,2.246188879
1529164545,464,2.247374535
1529164549,474,2.231219053
1529164554,491,2.231805325
1529164554,493,2.241913557
1529164558,507,2.219461918
1529164560,512,2.235416651
1529164561,514,2.222651482
1529164562,517,2.239110947
1529164564,525,2.226164818
1529164566,531,2.204202652
1529164566,533,2.229022741
1529164567,536,2.20446372
1529164569,542,2.253707409
1529164570,547,2.239326239
1529164574,557,2.239732742
1529164575,563,2.209973812
1529164577,569,2.233903885
1529164578,573,2.208809614
1529164580,579,2.205387115
1529164581,581,2.224060297
1529164581,582,2.227049112
1529164582,584,2.206434727
1529164582,586,2.207580328
1529164583,587,2.203185081
1529164584,592,2.223949194
1529164584,593,2.20585084
1529164587,602,2.2119596
1529164589,608,2.214418888
1529164590,610,2.239318132
1529164591,615,2.209725857
1529164593,620,2.194858551
1529164593,622,2.215326786
1529164597,634,2.215265751
1529164599,641,2.210451126
1529164599,642,2.221883535
1529164600,644,2.216902733
1529164600,646,2.208888531
1529164601,647,2.203592062
1529164601,649,2.209507227
1529164605,661,2.191633701
1529164606,664,2.207006693
1529164607,668,2.199299812
1529164608,671,2.172595501
1529164610,674,2.179497957
1529164611,678,2.213424683
1529164611,679,2.201238632
1529164612,683,2.186367273
1529164614,688,2.180007696
1529164617,699,2.196903706
1529164619,703,2.205775738
1529164619,706,2.196932316
1529164622,714,2.152888536
1529164623,718,2.179186106
1529164624,721,2.188030958
1529164624,722,2.182374001
1529164625,723,2.182988644
1529164627,730,2.172837019
1529164629,736,2.188266277
1529164629,738,2.174241543
1529164630,739,2.186149836
1529164631,743,2.172189713
1529164632,747,2.169003248
1529164633,751,2.182412624
1529164634,752,2.159068346
1529164635,756,2.172372341
1529164638,765,2.172859192
1529164639,769,2.158741951
1529164640,770,2.179317474
1529164640,771,2.154520512
1529164640,773,2.17802763
1529164641,774,2.161222935
1529164643,780,2.160992861
1529164644,784,2.164709806
1529164644,785,2.158422709
1529164645,787,2.184325933
1529164645,789,2.152698278
1529164646,792,2.159831047
1529164647,793,2.143486738
1529164647,794,2.191068411
1529164647,795,2.182616234
1529164648,798,2.171016693
1529164649,802,2.167817116
1529164651,807,2.127378941
1529164651,808,2.153183699
1529164652,809,2.155212879
1529164653,815,2.157418489
1529164659,832,2.133744478
1529164660,836,2.125175476
1529164661,838,2.137036085
1529164662,843,2.13956213
1529164670,867,2.120715618
1529164670,869,2.142925024
1529164672,874,2.127583742
1529164672,876,2.106585503
1529164673,880,2.09755373
1529164674,882,2.12524724
1529164675,890,2.108700275
1529164676,896,2.109085798
1529164677,900,2.104326725
1529164679,907,2.123688459
1529164679,909,2.10642767
1529164681,915,2.119303226
1529164682,917,2.127905846
1529164683,920,2.107061863
1529164684,923,2.06784606
1529164687,931,2.101465464
1529164687,932,2.118696928
1529164688,935,2.118539095
1529164690,942,2.113685846
1529164691,945,2.10593605
1529164694,954,2.104359627
1529164696,958,2.077797651
1529164697,961,2.106234074
1529164697,962,2.095927715
1529164700,971,2.03924489
1529164700,972,2.071716785
1529164702,976,2.073728085
1529164702,978,2.073861361
1529164703,979,2.069553614
1529164704,983,2.093010664
1529164704,984,2.077715635
1529164705,987,2.05282712
1529164705,988,2.068249702
1529164708,996,2.088149786
1529164709,1000,2.074764967
1529164710,1002,2.054764032
1529164710,1004,2.084754229
1529164711,1005,2.101599693
1529164713,1014,2.055578232
1529164714,1017,2.02193737
1529164716,1025,2.097123146
1529164717,1027,2.042072058
1529164719,1032,2.048515558
1529164721,1037,2.042683125
1529164723,1044,2.01985383
1529164728,1057,2.002361059
1529164729,1063,2.010444403
1529164730,1066,2.001851559
1529164731,1068,2.049326897
1529164732,1072,2.020833969
1529164733,1076,2.016114473
1529164734,1078,2.030380249
1529164736,1083,2.020432711
1529164736,1084,1.990424395
1529164736,1085,1.997963905
1529164739,1093,2.034173012
1529164741,1099,1.977275729
1529164742,1103,1.977804899
1529164743,1104,1.994006395
1529164743,1105,1.942528725
1529164746,1114,1.984457135
1529164747,1119,1.958821058
1529164752,1133,1.937859654
1529164753,1135,1.974258542
1529164759,1155,1.907124281
1529164759,1156,1.970510721
1529164761,1160,1.984194279
1529164761,1161,1.984122276
1529164761,1162,1.906104445
1529164767,1180,1.952835679
1529164769,1185,1.884568214
1529164771,1192,1.862270236
1529164771,1193,1.95857358
1529164774,1199,1.875806689
1529164775,1201,1.903649926
1529164777,1206,1.882459283
1529164777,1208,1.878942013
1529164785,1232,1.851145625
1529164786,1234,1.888536572
1529164787,1236,1.841753483
1529164790,1244,1.883813143
1529164791,1247,1.860961199
1529164794,1255,1.833513498
1529164795,1258,1.837345123
1529164796,1261,1.846690416
1529164800,1274,1.722438097
1529164803,1281,1.879055977
1529164805,1287,1.763922095
1529164807,1293,1.737192273
1529164807,1294,1.810948014
1529164808,1300,1.822588801
1529164812,1310,1.812466741
1529164813,1315,1.803216815
1529164814,1316,1.771562099
1529164815,1319,1.753848553
1529164816,1325,1.788302302
1529164817,1327,1.69185102
1529164818,1330,1.744513988
1529164819,1333,1.713444233
1529164820,1336,1.741132259
1529164820,1337,1.746361375
1529164827,1355,1.741840839
1529164832,1370,1.742340803
1529164837,1385,1.577255845
1529164838,1388,1.571651578
1529164838,1389,1.673048735
1529164838,1391,1.638127089
1529164839,1392,1.570680141
1529164846,1413,1.552677035
1529164846,1414,1.591890216
1529164848,1419,1.621356964
1529164849,1422,1.606814265
1529164850,1426,1.530026555
1529164851,1428,1.532183528
1529164852,1432,1.547230244
1529164854,1436,1.497700334
1529164855,1440,1.523034215
1529164863,1465,1.557496309
1529164863,1466,1.518634915
1529164867,1477,1.385999203
1529164869,1485,1.429909229
1529164869,1486,1.49762547
1529164870,1489,1.444254756
1529164871,1491,1.422599435
1529164871,1492,1.429443717
1529164874,1501,1.446284652
1529164876,1508,1.565834165
1529164882,1523,1.327322245
1529164882,1524,1.427732944
1529164883,1527,1.385594606
1529164889,1546,1.437424183
1529164891,1551,1.34059453
1529164891,1552,1.358511686
1529164892,1554,1.35968852
1529164894,1561,1.306149602
1529164897,1568,1.261227131
1529164897,1569,1.402252555
1529164900,1578,1.202044606
1529164901,1582,1.366220951
1529164902,1584,1.281126738
1529164904,1588,1.158659339
1529164907,1597,1.212220192
1529164909,1604,1.392051101
1529164909,1605,1.229945779
1529164911,1610,1.225871086
1529164913,1618,1.299715161
1529164916,1627,1.193578005
1529164917,1628,1.303979754
1529164918,1632,1.285042167
1529164920,1637,1.224525094
1529164921,1640,1.16146493
1529164921,1642,1.237218618
1529164922,1645,1.019557595
1529164923,1648,1.071050763
1529164924,1652,1.118554115
1529164927,1660,1.100272536
1529164929,1668,1.125891089
1529164931,1672,1.210104942
1529164932,1675,1.192269921
1529164932,1676,1.060948253
1529164935,1682,1.046234488
1529164935,1683,1.101004124
1529164938,1691,1.204568624
1529164939,1695,1.058835387
1529164939,1696,1.107798815
1529164940,1697,1.07063365
1529164940,1699,1.056964159
1529164941,1702,1.074243069
1529164944,1709,1.07739985
1529164944,1710,1.065448761
1529164946,1718,1.116503119
1529164947,1719,1.075822115
1529164950,1728,0.991625667
1529164952,1732,1.052538633
1529164952,1734,1.068540454
1529164954,1737,1.0401932
1529164955,1742,1.035947919
1529164955,1743,1.045626521
1529164956,1745,1.018362999
1529164956,1746,1.153457999
1529164957,1747,1.014838815
1529164958,1752,0.984549046
1529164963,1766,0.999596357
1529164966,1775,1.008073449
1529164967,1781,1.011470079
1529164970,1788,0.965690136
1529164970,1789,0.958486557
1529164973,1798,0.911366522
1529164976,1805,1.006584406
1529164979,1814,1.0086236
1529164980,1817,1.088089466
1529164982,1824,0.996277571
1529164983,1826,0.979519129
1529164984,1830,0.989885926
1529164988,1840,0.888629615
1529164988,1841,0.864715874
1529164989,1844,0.945657015
1529164991,1849,0.930680871
1529164993,1853,0.839542568
1529164997,1866,0.930939317
1529164997,1868,0.864398479
1529164998,1869,0.916543245
1529165000,1875,1.029494286
1529165000,1876,1.0372262
1529165001,1877,0.905539036
1529165002,1879,0.820869625
1529165007,1893,0.943723917
1529165013,1911,0.83597517
1529165015,1917,0.778225422
1529165018,1924,0.883162975
1529165020,1930,0.982178032
1529165021,1934,0.881359279
1529165022,1936,0.8126809
1529165022,1938,0.747178018
1529165024,1944,0.778939724
1529165025,1947,0.805772185
1529165026,1949,0.805214465
1529165027,1952,0.804933071
1529165028,1955,0.784353197
1529165029,1958,0.844410002
1529165032,1967,0.762703121
1529165032,1969,0.724147439
1529165036,1981,0.942767084
1529165036,1982,0.824916661
1529165037,1983,0.894832969
1529165042,1997,0.80202806
1529165044,2001,0.634796679
1529165045,2005,0.729365945
1529165047,2009,0.805645466
1529165047,2010,0.741072178
1529165048,2013,0.780449986
1529165048,2015,0.768618762
1529165049,2017,0.662093759
1529165051,2025,0.800531685
1529165052,2027,0.760898113
1529165053,2030,0.959680736
1529165054,2033,0.784442306
1529165055,2036,0.9250471
1529165056,2038,0.713391721
1529165058,2041,0.835975647
1529165059,2044,0.800358891
1529165064,2060,0.83099854
1529165067,2067,0.812995732
1529165069,2072,0.843793809
1529165069,2073,0.724656701
1529165069,2074,0.778030396
1529165070,2076,0.774247825
1529165070,2077,0.731490314
1529165071,2079,0.806193411
1529165072,2081,0.80039233
1529165073,2085,0.686068714
1529165074,2089,0.765768766
1529165076,2094,0.822791755
1529165077,2096,0.716806352
1529165079,2103,0.751954794
1529165079,2105,0.800464034
1529165080,2106,0.811678469
1529165082,2111,0.663047612
1529165083,2115,0.811517
1529165084,2120,0.663321257
1529165085,2122,0.746691763
1529165085,2123,0.738791823
1529165089,2133,0.814103067
1529165089,2134,0.815510035
1529165090,2138,0.791437864
1529165091,2141,0.884182036
1529165092,2144,0.665731132
1529165093,2145,0.725230098
1529165094,2148,0.722427607
1529165094,2149,0.836451411
1529165095,2151,0.702887058
1529165097,2156,0.944887877
1529165097,2157,0.851704001
1529165100,2164,0.607823968
1529165100,2165,0.671745777
1529165101,2169,0.672742307
1529165102,2171,0.681369007
1529165102,2173,0.686170399
1529165103,2177,0.657066882
1529165107,2187,0.625893354
1529165107,2189,0.666564047
1529165108,2191,0.722091138
1529165108,2192,0.736016095
1529165110,2196,0.660339952
1529165111,2199,0.622469306
1529165113,2207,0.772292495
1529165115,2211,0.769163728
1529165119,2225,0.887725294
1529165121,2229,0.676707029
1529165121,2231,0.65769273
1529165123,2236,0.589117289
1529165123,2237,0.69549787
1529165124,2239,0.649775565
1529165125,2241,0.825753391
1529165125,2242,0.65434289
1529165126,2244,0.705754101
1529165127,2246,0.55579114
1529165127,2247,0.771177053
1529165129,2254,0.774026632
1529165130,2257,0.701196909
1529165132,2262,0.682995856
1529165136,2274,0.630694985
1529165137,2278,0.855897009
1529165138,2281,0.72969681
1529165141,2291,0.672758877
1529165143,2297,0.547330141
1529165143,2298,0.695403874
1529165144,2300,0.702637792
1529165145,2303,0.68265146
1529165146,2306,0.735038817
1529165147,2307,0.621719122
1529165147,2308,0.591177762
1529165151,2318,0.676777899
1529165151,2319,0.677427828
1529165152,2320,0.630415678
1529165152,2322,0.68410033
1529165156,2334,0.593413234
1529165156,2335,0.619821608
1529165157,2336,0.607092977
1529165157,2337,0.616804659
1529165160,2345,0.640381753
1529165163,2354,0.681375861
1529165169,2371,0.728666663
1529165173,2385,0.676702976
1529165175,2389,0.554003954
1529165175,2390,0.62559557
1529165176,2392,0.599121034
1529165179,2400,0.637305021
1529165180,2402,0.547484994
1529165181,2406,0.635240197
1529165184,2416,0.523934126
1529165187,2424,0.68081969
1529165187,2425,0.524433732
1529165190,2436,0.566907644
1529165193,2444,0.52079612
1529165196,2450,0.616210997
1529165196,2451,0.471257865
1529165196,2453,0.559074759
1529165197,2455,0.569282293
1529165199,2460,0.620576739
1529165206,2479,0.676739037
1529165208,2485,0.671195924
1529165208,2486,0.535412669
1529165211,2496,0.550628483
1529165212,2498,0.679441214
1529165213,2501,0.639827132
1529165214,2502,0.711184919
1529165214,2503,0.620295167
1529165218,2514,0.623731792
1529165219,2517,0.630688488
1529165221,2523,0.564054489
1529165223,2528,0.471548915
1529165223,2530,0.604534328
1529165224,2532,0.671977401
1529165225,2534,0.607952356
1529165228,2543,0.576384187
1529165229,2547,0.62694186
1529165230,2551,0.675387502
1529165231,2553,0.615772069
1529165232,2556,0.584412813
1529165235,2565,0.441345721
1529165235,2566,0.573834777
1529165237,2570,0.611930609
1529165239,2576,0.550242424
1529165239,2578,0.508191526
1529165243,2590,0.61247617
1529165244,2591,0.693126976
1529165244,2592,0.605523884
1529165244,2593,0.409867555
1529165245,2596,0.549069881
1529165246,2600,0.668964326
1529165248,2606,0.497235954
1529165249,2607,0.657137454
1529165250,2610,0.598080277
1529165252,2618,0.679281771
1529165254,2623,0.619634449
1529165256,2626,0.472589642
1529165257,2629,0.489918113
