Wall time,Step,Value
1529164404,5,0.140000001
1529164408,18,0.170000002
1529164410,24,0.079999998
1529164415,40,0.119999997
1529164415,42,0.109999999
1529164416,45,0.059999999
1529164416,47,0.079999998
1529164419,53,0.090000004
1529164419,56,0.129999995
1529164424,71,0.189999998
1529164425,74,0.100000001
1529164427,79,0.109999999
1529164429,87,0.129999995
1529164431,94,0.140000001
1529164433,102,0.090000004
1529164434,105,0.150000006
1529164435,106,0.07
1529164437,113,0.059999999
1529164441,126,0.150000006
1529164445,139,0.129999995
1529164448,150,0.140000001
1529164450,155,0.100000001
1529164451,158,0.07
1529164454,167,0.150000006
1529164454,168,0.100000001
1529164457,178,0.189999998
1529164459,183,0.140000001
1529164460,185,0.170000002
1529164460,186,0.100000001
1529164461,190,0.140000001
1529164464,198,0.159999996
1529164466,206,0.129999995
1529164466,207,0.150000006
1529164468,212,0.180000007
1529164471,223,0.170000002
1529164473,229,0.140000001
1529164474,234,0.119999997
1529164476,237,0.129999995
1529164479,249,0.090000004
1529164481,255,0.109999999
1529164482,260,0.090000004
1529164485,267,0.140000001
1529164486,271,0.129999995
1529164486,273,0.200000003
1529164493,292,0.230000004
1529164494,297,0.159999996
1529164494,298,0.230000004
1529164496,303,0.150000006
1529164497,308,0.170000002
1529164498,310,0.230000004
1529164501,318,0.150000006
1529164501,319,0.119999997
1529164503,326,0.200000003
1529164504,330,0.159999996
1529164507,339,0.209999993
1529164509,347,0.209999993
1529164514,363,0.209999993
1529164516,367,0.300000012
1529164517,373,0.219999999
1529164518,377,0.189999998
1529164519,379,0.170000002
1529164532,421,0.230000004
1529164532,422,0.180000007
1529164533,424,0.230000004
1529164535,430,0.189999998
1529164537,439,0.25
1529164538,441,0.159999996
1529164538,442,0.219999999
1529164539,445,0.280000001
1529164541,451,0.230000004
1529164544,460,0.189999998
1529164545,463,0.180000007
1529164545,464,0.219999999
1529164549,474,0.300000012
1529164554,491,0.289999992
1529164554,493,0.25
1529164558,507,0.289999992
1529164560,512,0.289999992
1529164561,514,0.25999999
1529164562,517,0.25999999
1529164564,525,0.310000002
1529164566,531,0.349999994
1529164566,533,0.300000012
1529164567,536,0.340000004
1529164569,542,0.180000007
1529164570,547,0.209999993
1529164574,557,0.209999993
1529164575,563,0.319999993
1529164577,569,0.230000004
1529164578,573,0.340000004
1529164580,579,0.289999992
1529164581,581,0.280000001
1529164581,582,0.310000002
1529164582,584,0.389999986
1529164582,586,0.330000013
1529164583,587,0.379999995
1529164584,592,0.319999993
1529164584,593,0.340000004
1529164587,602,0.319999993
1529164589,608,0.270000011
1529164590,610,0.239999995
1529164591,615,0.319999993
1529164593,620,0.330000013
1529164593,622,0.319999993
1529164597,634,0.340000004
1529164599,641,0.280000001
1529164599,642,0.300000012
1529164600,644,0.270000011
1529164600,646,0.340000004
